date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:54	257862/257862	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b06ba-3ef46%22	https://apecmandalakimboi.apecgroup.net/assets/images/Villa%20-%20view%203.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/Villa%20-%20view%203.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:06:59	87579/87579	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b069e-1561b%22	https://apecmandalakimboi.apecgroup.net/assets/images/room%20Bowmore.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/room%20Bowmore.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:07:08	54168/54168	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b06ba-d398%22	https://apecmandalakimboi.apecgroup.net/assets/images/roomHighland%20park.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/roomHighland%20park.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:07:08	113308/113308	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b06ba-1ba9c%22	https://apecmandalakimboi.apecgroup.net/assets/images/roomMacallan.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/roomMacallan.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:07:17	115662/115662	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22611cdb58-1c3ce%22	https://apecmandalakimboi.apecgroup.net/assets/images/news1.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/news1.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:07:19	546180/546180	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0498-85584%22	https://apecmandalakimboi.apecgroup.net/assets/images/CH04A%20-%20Bowmore.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/CH04A%20-%20Bowmore.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:07:19	102698/102698	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22611cdb69-1912a%22	https://apecmandalakimboi.apecgroup.net/assets/images/news2.jpeg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/news2.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:07:22	72993/72993	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0634-11d21%22	https://apecmandalakimboi.apecgroup.net/assets/images/imgnews8.jpeg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/imgnews8.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:07:24	61868/61868	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0634-f1ac%22	https://apecmandalakimboi.apecgroup.net/assets/images/imgNews.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/imgNews.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:07:30	80172/80172	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0634-1392c%22	https://apecmandalakimboi.apecgroup.net/assets/images/imgnews2.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/imgnews2.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:07:33	50559/50559	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0634-c57f%22	https://apecmandalakimboi.apecgroup.net/assets/images/imgnews3.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/imgnews3.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:07:48	510983/510983	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0498-7cc07%22	https://apecmandalakimboi.apecgroup.net/assets/images/CH17%20-%20Macallan.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/CH17%20-%20Macallan.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:07:51	105119/105119	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0634-19a9f%22	https://apecmandalakimboi.apecgroup.net/assets/images/imgnew4.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/imgnew4.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:07:59	44531/44531	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0634-adf3%22	https://apecmandalakimboi.apecgroup.net/assets/images/imgnews5.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/imgnews5.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:08:04	20832/20832	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0634-5160%22	https://apecmandalakimboi.apecgroup.net/assets/images/imgnews7.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/imgnews7.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:08:05	72678/72678	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0634-11be6%22	https://apecmandalakimboi.apecgroup.net/assets/images/imgnews6.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/imgnews6.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:08:05	1612/1612	---MCZ	200	added ('OK')	image/png	etag:W/%22609b0470-64c%22	https://apecmandalakimboi.apecgroup.net/assets/images/apec.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/apec.png	(from https://apecmandalakimboi.apecgroup.net/)
10:08:05	26395/26395	---MCZ	200	added ('OK')	image/png	etag:W/%22609b069e-671b%22	https://apecmandalakimboi.apecgroup.net/assets/images/larightBot.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/larightBot.png	(from https://apecmandalakimboi.apecgroup.net/)
10:08:05	1395/1395	---MCZ	200	added ('OK')	image/png	etag:W/%22609b0498-573%22	https://apecmandalakimboi.apecgroup.net/assets/images/cenhomes.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/cenhomes.png	(from https://apecmandalakimboi.apecgroup.net/)
10:08:06	1404/1404	---MCZ	200	added ('OK')	image/png	etag:W/%22609b069e-57c%22	https://apecmandalakimboi.apecgroup.net/assets/images/kume.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/kume.png	(from https://apecmandalakimboi.apecgroup.net/)
10:08:06	1755/1755	---MCZ	200	added ('OK')	image/png	etag:W/%22609b0634-6db%22	https://apecmandalakimboi.apecgroup.net/assets/images/fuhuc.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/fuhuc.png	(from https://apecmandalakimboi.apecgroup.net/)
10:08:07	1441/1441	---MCZ	200	added ('OK')	image/png	etag:W/%22609b069e-5a1%22	https://apecmandalakimboi.apecgroup.net/assets/images/mandala.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/mandala.png	(from https://apecmandalakimboi.apecgroup.net/)
10:08:10	89478/89478	---MCZ	200	added ('OK')	application/javascript	etag:W/%226045c5f5-15d86%22	https://apecmandalakimboi.apecgroup.net/assets/js/jquery-3.5.1.min.js	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/js/jquery-3.5.1.min.js	(from https://apecmandalakimboi.apecgroup.net/)
10:08:12	60016/60016	---MCZ	200	added ('OK')	application/javascript	etag:W/%226045c5f5-ea70%22	https://apecmandalakimboi.apecgroup.net/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/js/bootstrap.min.js	(from https://apecmandalakimboi.apecgroup.net/)
10:08:15	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d3cda9-a76f%22	https://apecmandalakimboi.apecgroup.net/assets/js/slick.min.js	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/js/slick.min.js	(from https://apecmandalakimboi.apecgroup.net/)
10:08:15	536941/536941	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0498-8316d%22	https://apecmandalakimboi.apecgroup.net/assets/images/CH31%20-%20Highland%20park.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/CH31%20-%20Highland%20park.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:08:16	16651/16651	---MCZ	200	added ('OK')	application/javascript	etag:W/%225920e4b6-410b%22	https://apecmandalakimboi.apecgroup.net/assets/js/sweetalert.min.js	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/js/sweetalert.min.js	(from https://apecmandalakimboi.apecgroup.net/)
10:08:18	257643/257643	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0652-3ee6b%22	https://apecmandalakimboi.apecgroup.net/assets/images/imgRes.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/imgRes.jpg	(from https://apecmandalakimboi.apecgroup.net/)
10:08:18	4061/4061	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261827221-fdd%22	https://apecmandalakimboi.apecgroup.net/assets/js/script.js	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/js/script.js	(from https://apecmandalakimboi.apecgroup.net/)
10:08:19	2018/2018	---MCZ	200	added ('OK')	text/html	etag:W/%22609a73bf-7e2%22	https://apecmandalakimboi.apecgroup.net/thank-you.html	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/thank-you.html	(from https://apecmandalakimboi.apecgroup.net/)
10:08:32	918214/918214	---MCZ	200	added ('OK')	image/png	etag:W/%22611cdfa7-e02c6%22	https://apecmandalakimboi.apecgroup.net/assets/images/news3.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/news3.png	(from https://apecmandalakimboi.apecgroup.net/)
10:08:39	236572/236572	---M--	200	added ('OK')	application/octet-stream	etag:%224ec29a90-39c1c%22	https://apecmandalakimboi.apecgroup.net/assets/font/PlayfairDisplay-Medium.ttf	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/font/PlayfairDisplay-Medium.ttf	(from https://apecmandalakimboi.apecgroup.net/assets/css/style.css)
10:08:54	193968/193968	---M--	200	added ('OK')	application/octet-stream	etag:%2250897010-2f5b0%22	https://apecmandalakimboi.apecgroup.net/assets/font/PlayfairDisplaySC-Regular.ttf	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/font/PlayfairDisplaySC-Regular.ttf	(from https://apecmandalakimboi.apecgroup.net/assets/css/style.css)
10:08:58	242068/242068	---M--	200	added ('OK')	application/octet-stream	etag:%224ee63310-3b194%22	https://apecmandalakimboi.apecgroup.net/assets/font/Montserrat-Light.ttf	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/font/Montserrat-Light.ttf	(from https://apecmandalakimboi.apecgroup.net/assets/css/style.css)
